"4009 W JACKSON BLVD , Chicago, IL",11,"1132",-87.7259459,41.876832,"4009 w jackson blvd, chicago, il 60624, usa"
"8408 S VINCENNES AVE , Chicago, IL",6,"622",-87.6382102,41.7414765,"8408 s vincennes ave, chicago, il 60620, usa"
"3518 W FLOURNOY ST , Chicago, IL",11,"1133",-87.7140097,41.8728786,"3518 w flournoy st, chicago, il 60624, usa"
"2964 S STATE ST , Chicago, IL",1,"133",-87.6272584,41.8400489,"2964 s state st, chicago, il 60616, usa"
"759 W 72ND ST , Chicago, IL",7,"732",-87.6439027,41.7632134,"759 w 72nd st, chicago, il 60621, usa"
"2326 W 59TH ST , Chicago, IL",8,"824",-87.6822881,41.7866204,"2326 w 59th st, chicago, il 60636, usa"
"1447 N MASSASOIT AVE , Chicago, IL",25,"2531",-87.7692933,41.9071408,"1447 n massasoit ave, chicago, il 60651, usa"
"7900 S LAFAYETTE AVE , Chicago, IL",6,"623",-87.6260999,41.7507259,"7900 s lafayette ave, chicago, il 60620, usa"
"2059 W HADDON AVE , Chicago, IL",12,"1212",-87.6791137,41.9022069,"2059 w haddon ave, chicago, il 60622, usa"
"191 S HAMLIN BLVD , Chicago, IL",11,"1122",-87.7207122,41.8775068,"s hamlin blvd, chicago, il 60624, usa"
"4310 W ADAMS ST , Chicago, IL",11,"1115",-87.7334489,41.878133,"4310 w adams st, chicago, il 60624, usa"
"1758 S HARDING AVE , Chicago, IL",10,"1014",-87.7236527,41.8571138,"1758 s harding ave, chicago, il 60623, usa"
"5545 W CORCORAN PL , Chicago, IL",15,"1523",-87.7643462,41.8872115,"5545 w corcoran pl, chicago, il 60644, usa"
"1203 S AVERS AVE , Chicago, IL",10,"1011",-87.721506,41.8661693,"1203 s avers ave, chicago, il 60623, usa"
"3150 W CERMAK RD , Chicago, IL",10,"1022",-87.7048491,41.8520253,"3150 w cermak rd, chicago, il 60623, usa"
"2299 W 63RD ST , Chicago, IL",8,"825",-87.6811007,41.7792008,"2299 w 63rd st, chicago, il 60636, usa"
"7252 S YALE AVE , Chicago, IL",7,"731",-87.6312,41.7620544,"7252 s yale ave, chicago, il 60621, usa"
"3812 W OGDEN AVE , Chicago, IL",10,"1014",-87.7190322,41.8526802,"3812 ogden ave, chicago, il 60623, usa"
"5000 W NORTH AVE , Chicago, IL",25,"2533",-87.7518315,41.9097693,"5000 w north ave, chicago, il 60639, usa"
"135 S SPRINGFIELD AVE , Chicago, IL",11,"1122",-87.7231568,41.8788332,"135 s springfield ave, chicago, il 60624, usa"
"1600 S ST LOUIS AVE , Chicago, IL",10,"1021",-87.713009,41.8588978,"1600 s st louis ave, chicago, il 60623, usa"
"1137 N RIDGEWAY AVE , Chicago, IL",11,"1112",-87.7198977,41.9019914,"1137 n ridgeway ave, chicago, il 60651, usa"
"5219 S DAMEN AVE , Chicago, IL",9,"932",-87.6741208,41.7988232,"5219 s damen ave, chicago, il 60609, usa"
"2853 W FLOURNOY ST , Chicago, IL",11,"1135",-87.6981892,41.8726411,"2853 w flournoy st, chicago, il 60612, usa"
"2549 W 110TH ST , Chicago, IL",22,"2212",-87.685617,41.6933641,"2549 w 110th st, chicago, il 60655, usa"
"3252 W LELAND AVE , Chicago, IL",17,"1713",-87.7105158,41.9667513,"3252 w leland ave, chicago, il 60625, usa"
"4209 W CARROLL AVE , Chicago, IL",11,"1114",-87.731164,41.886657,"4209 w carroll ave, chicago, il 60624, usa"
"5611 W CORCORAN PL , Chicago, IL",15,"1512",-87.7656067,41.8870738,"5611 w corcoran pl, chicago, il 60644, usa"
"1139 S ALBANY AVE , Chicago, IL",11,"1134",-87.7029069,41.8670925,"1139 s albany ave, chicago, il 60612, usa"
"3500 W FLOURNOY ST , Chicago, IL",11,"1133",-87.7133999,41.872908,"3500 w flournoy st, chicago, il 60624, usa"
"214 S SPRINGFIELD AVE , Chicago, IL",11,"1122",-87.7231169,41.8778757,"214 s springfield ave, chicago, il 60624, usa"
"3905 W THOMAS ST , Chicago, IL",11,"1112",-87.723978,41.9007662,"3905 w thomas st, chicago, il 60651, usa"
"902 W 79TH ST , Chicago, IL",6,"621",-87.646735,41.7505878,"902 w 79th st, chicago, il 60620, usa"
"8526 S GIVINS CT , Chicago, IL",6,"622",-87.642939,41.7389713,"8526 s givins ct, chicago, il 60620, usa"
"826 N DRAKE AVE , Chicago, IL",11,"1121",-87.7154721,41.8963228,"826 n drake ave, chicago, il 60651, usa"
"803 N DRAKE AVE , Chicago, IL",11,"1121",-87.7149421,41.8955424,"803 n drake ave, chicago, il 60651, usa"
"12001 S LOWE AVE , Chicago, IL",5,"523",-87.6382417,41.6760256,"12001 s lowe ave, chicago, il 60628, usa"
"3401 W CHICAGO AVE , Chicago, IL",11,"1121",-87.7117967,41.8953003,"3401 w chicago ave, chicago, il 60651, usa"
"720 W 66TH ST , Chicago, IL",7,"723",-87.6435404,41.7743028,"720 w 66th st, chicago, il 60621, usa"
"803 N CENTRAL PARK AVE , Chicago, IL",11,"1121",-87.7161493,41.8955348,"803 n central park ave, chicago, il 60651, usa"
"320 S PULASKI RD , Chicago, IL",11,"1132",-87.7258623,41.8764388,"320 s pulaski rd, chicago, il 60624, usa"
"4846 W RICE ST , Chicago, IL",15,"1531",-87.7477051,41.8961427,"4846 w rice st, chicago, il 60651, usa"
"714 E 82ND ST , Chicago, IL",6,"631",-87.6066369,41.7459719,"714 e 82nd st, chicago, il 60619, usa"
"1235 S KOSTNER AVE , Chicago, IL",10,"1011",-87.7346431,41.8649585,"1235 s kostner ave, chicago, il 60623, usa"
"3432 W IOWA ST , Chicago, IL",NA,NA,-87.7127435,41.8973193,"3432 w iowa st, chicago, il 60651, usa"
"45 E RANDOLPH ST , Chicago, IL",1,"111",-87.6262157,41.8845063,"45 e randolph st, chicago, il 60601, usa"
"1215 W 77TH ST , Chicago, IL",6,"612",-87.654254,41.7540006,"1215 w 77th st, chicago, il 60620, usa"
"3846 W MONROE ST , Chicago, IL",11,"1122",-87.7226416,41.8800183,"3846 w monroe st, chicago, il 60624, usa"
"1451 N LARAMIE AVE , Chicago, IL",25,"2533",-87.7556612,41.9073537,"1451 n laramie ave, chicago, il 60651, usa"
"2035 N CICERO AVE , Chicago, IL",25,"2522",-87.7458551,41.9180423,"2035 n cicero ave, chicago, il 60639, usa"
"7156 S LAFAYETTE AVE , Chicago, IL",7,"731",-87.6268326,41.7637967,"7156 s lafayette ave, chicago, il 60621, usa"
"1652 S HOMAN AVE , Chicago, IL",10,"1021",-87.7105843,41.8574922,"1652 s homan ave, chicago, il 60623, usa"
"6422 S ABERDEEN ST , Chicago, IL",7,"724",-87.6522749,41.7770986,"6422 s aberdeen st, chicago, il 60621, usa"
"3059 W 24TH ST , Chicago, IL",10,"1033",-87.701951,41.8478352,"3059 w 24th st, chicago, il 60623, usa"
"1321 E 76TH ST , Chicago, IL",4,"411",-87.5924947,41.7568669,"1321 e 76th st, chicago, il 60619, usa"
